# mode    freq(cm-1)    alpha    beta2    activity
001  1408.09865   0.0000465   1.9848711  13.8940975
002  1408.08970  -0.0000000   1.9845608  13.8919258
003  1377.52649  -0.0000929   0.0000004   0.0000034
004  1377.51906  -0.0000929   0.0000038   0.0000270
005  1066.40249   0.0042466   0.0000095   0.0008777
006  1062.03685  -1.4214709   1.1034685  98.6503543
007   829.27541   0.0000000   0.0000000   0.0000000
008   824.19578  -0.0000468   0.0000000   0.0000002
009   681.46156   0.0002954   0.7403847   5.1826970
010   681.36963   0.0000844   0.7448966   5.2142762
011   681.18156   0.0000000   0.0036678   0.0256744
012   681.14143   0.0002110   0.0051166   0.0358184
013   308.20729   0.0000428   0.0000005   0.0000033
014   288.66545   0.0000369   0.0000001   0.0000007
015   280.10676  -0.0000264   0.0000179   0.0001255
016   279.12622  -0.0000362   0.0000053   0.0000369
017   279.12264   0.0000000   0.0000037   0.0000256
018   271.25775  -0.0000000   1.5283882  10.6987173
019   271.25663   0.0004188   1.5282969  10.6980864
020   212.27569  -0.0000569   0.0000003   0.0000023
021   212.26949  -0.0000285   0.0000005   0.0000036
022   178.21551   0.0001265   0.0000117   0.0000824
023   153.68130  -0.0000854   0.1435703   1.0049926
024   153.27453   0.0001281   0.1432026   1.0024186
025   109.33159   0.0000000   0.0000002   0.0000011
026   109.31328  -0.0000763   0.0000002   0.0000017
027   107.60037   0.0000392   0.0000000   0.0000002
028     0.02157   0.0000000   0.0000001   0.0000005
029     0.03564   0.0000000   0.0000000   0.0000003
030     0.09163   0.0000000   0.0000000   0.0000000
